"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41","test_registration_missing_phone_is_rejected","tests.api","2026-08-24","skipped","2026-08-24","","test_registration_api","",""
"","93","test_deposit_without_amount_param_is_rejected","tests.api","2026-08-24","skipped","2026-08-24","","test_deposit_withdraw_api","",""
"`loan_response` types `accountId` as nullable and `message` as optional
    specifically for the declined shape — cover it, not just the approved one.

    An absurdly large amount reliably declines regardless of shared-session
    balance state (verified live: real ParaBank returns approved=false /
    message=""error.insufficient.funds"" / accountId=null for this).
    ","517","test_loan_response_declined_matches_contract","tests.api","2026-08-24","passed","2026-08-24","","test_contracts_api","",""
"","11","test_get_transactions_returns_200","tests.api","2026-08-24","passed","2026-08-24","","test_transactions_api","",""
"","29","test_withdraw_without_amount_param_is_rejected","tests.api","2026-08-24","skipped","2026-08-24","","test_deposit_withdraw_api","",""
"","131","test_transfer_empty_amount_shows_validation_message","tests.ui","2026-08-24","skipped","2026-08-24","","test_transfer","",""
"","8","test_deposit_scientific_notation_amount_is_rejected","tests.api","2026-08-24","skipped","2026-08-24","","test_deposit_withdraw_api","",""
"","5","test_get_customer_returns_200","tests.api","2026-08-24","passed","2026-08-24","","test_customer_api","",""
"","24","test_bill_pay_with_routing_number_succeeds","tests.api","2026-08-24","skipped","2026-08-24","","test_billpay_api","",""
"","181","test_overview_has_navigation_links","tests.ui","2026-08-24","passed","2026-08-24","","test_overview","",""
"","5","test_login_returns_customer","tests.api","2026-08-24","passed","2026-08-24","","test_accounts_api","",""
"","14","test_sell_partial_position_reduces_shares","tests.api","2026-08-24","passed","2026-08-24","","test_positions_api","",""
"","23","test_request_loan_approved","tests.api","2026-08-24","passed","2026-08-24","","test_loans_api","",""
"","16","test_transaction_response_matches_contract","tests.api","2026-08-24","passed","2026-08-24","","test_contracts_api","",""
"","216","test_transfer_reachable_from_overview","tests.ui","2026-08-24","passed","2026-08-24","","test_transfer","",""
"","9","test_transfer_to_same_account_is_rejected","tests.api","2026-08-24","skipped","2026-08-24","","test_transfer_api","",""
"","0","test_account_fields","tests.api","2026-08-24","passed","2026-08-24","","test_accounts_api","",""
"Living proof of D-12: ""buying"" -100 shares credits $1000 instead of debiting it.","50","test_buying_negative_shares_currently_creates_money","tests.api","2026-08-24","passed","2026-08-24","","test_positions_api","",""
"","30","test_transfer_missing_amount_param_is_rejected","tests.api","2026-08-24","skipped","2026-08-24","","test_transfer_api","",""
"","4","test_position_history_returns_list_for_valid_position","tests.api","2026-08-24","skipped","2026-08-24","","test_position_history_api","",""
"","10","test_deposit_to_nonexistent_account_returns_error","tests.api","2026-08-24","passed","2026-08-24","","test_deposit_withdraw_api","",""
"","212","test_admin_page_requires_authentication","tests.api","2026-08-24","skipped","2026-08-24","","test_security_api","",""
"","13","test_create_savings_account","tests.api","2026-08-24","passed","2026-08-24","","test_accounts_api","",""
"","0","test_analyze_failure_returns_the_llm_diagnosis","tests.ai","2026-08-24","passed","2026-08-24","","test_failure_analyzer","",""
"Living proof of D-13: sell far more shares than owned, get paid for all of them.

    No ownership check means the ""amount owned"" ceiling doesn't exist — this
    scales to whatever quantity is requested, unlike D-12 which is capped by
    what a single buy call can express.
    ","52","test_overselling_a_position_currently_creates_unlimited_money","tests.api","2026-08-24","passed","2026-08-24","","test_positions_api","",""
"","29","test_billpay_response_matches_contract","tests.api","2026-08-24","passed","2026-08-24","","test_contracts_api","",""
"","21","test_withdraw_decreases_balance","tests.api","2026-08-24","passed","2026-08-24","","test_deposit_withdraw_api","",""
"","13","test_withdraw_returns_success_message","tests.api","2026-08-24","passed","2026-08-24","","test_deposit_withdraw_api","",""
"","90","test_request_loan_creates_new_loan_account","tests.api","2026-08-24","passed","2026-08-24","","test_loans_api","",""
"","10","test_deposit_returns_success_message","tests.api","2026-08-24","passed","2026-08-24","","test_deposit_withdraw_api","",""
"","40","test_registration_with_valid_fields_succeeds","tests.api","2026-08-24","passed","2026-08-24","","test_registration_api","",""
"","11","test_transactions_on_date_returns_todays_transactions","tests.api","2026-08-24","passed","2026-08-24","","test_transactions_api","",""
"","8","test_withdraw_negative_amount_is_rejected","tests.api","2026-08-24","skipped","2026-08-24","","test_deposit_withdraw_api","",""
"","228","test_login_with_valid_credentials","tests.ui","2026-08-24","passed","2026-08-24","","test_login","",""
"","111","test_login_page_loads","tests.ui","2026-08-24","passed","2026-08-24","","test_login","",""
"","32","test_registration_missing_zip_is_rejected","tests.api","2026-08-24","passed","2026-08-24","","test_registration_api","",""
"Living proof of D-19: a negative down payment gets approved and credits money.","45","test_negative_down_payment_currently_creates_money","tests.api","2026-08-24","passed","2026-08-24","","test_loans_api","",""
"","62","test_sell_more_shares_than_owned_is_rejected","tests.api","2026-08-24","skipped","2026-08-24","","test_positions_api","",""
"","22","test_update_customer_reflects_new_values","tests.api","2026-08-24","skipped","2026-08-24","","test_customer_update_api","",""
"Living proof of D-09: documents the exploit end to end.

    Asserts the *currently broken* behavior so the report shows a passing,
    explicit demonstration of the vulnerability rather than only an xfail.
    Pairs with the strict-xfail tests above, which flip to failing once the
    hole is closed — at which point this test should be deleted.
    ","24","test_money_theft_is_currently_possible","tests.api","2026-08-24","passed","2026-08-24","","test_security_api","",""
"","8","test_update_customer_returns_success","tests.api","2026-08-24","skipped","2026-08-24","","test_customer_update_api","",""
"","135","test_transfer_empty_amount_does_not_complete","tests.ui","2026-08-24","passed","2026-08-24","","test_transfer","",""
"","8","test_reading_foreign_customer_pii_is_rejected","tests.api","2026-08-24","skipped","2026-08-24","TestApiRequiresAuthorization","test_security_api","",""
"","366","test_overview_account_link_opens_account_activity","tests.ui","2026-08-24","passed","2026-08-24","","test_overview","",""
"","8","test_transactions_by_month_and_type_returns_correct_type","tests.api","2026-08-24","passed","2026-08-24","","test_transactions_api","",""
"","4","test_position_history_invalid_position_returns_error","tests.api","2026-08-24","passed","2026-08-24","","test_position_history_api","",""
"","9","test_create_checking_account","tests.api","2026-08-24","passed","2026-08-24","","test_accounts_api","",""
"","13","test_transfer_valid_amount","tests.api","2026-08-24","passed","2026-08-24","","test_transfer_api","",""
"","6","test_customer_response_matches_contract","tests.api","2026-08-24","passed","2026-08-24","","test_contracts_api","",""
"","16","test_withdraw_overdraft_is_rejected","tests.api","2026-08-24","skipped","2026-08-24","","test_deposit_withdraw_api","",""
"","19","test_get_nonexistent_position_returns_error","tests.api","2026-08-24","passed","2026-08-24","","test_positions_api","",""
"","5","test_login_with_invalid_credentials_returns_400","tests.api","2026-08-24","passed","2026-08-24","","test_accounts_api","",""
"","5","test_get_customer_address_fields","tests.api","2026-08-24","passed","2026-08-24","","test_customer_api","",""
"","11","test_transactions_by_month_and_type_debit","tests.api","2026-08-24","passed","2026-08-24","","test_transactions_api","",""
"","0","test_analyze_failure_degrades_gracefully_when_llm_is_unreachable","tests.ai","2026-08-24","passed","2026-08-24","","test_failure_analyzer","",""
"","13","test_transfer_zero_amount_is_rejected","tests.api","2026-08-24","skipped","2026-08-24","","test_transfer_api","",""
"","14","test_buy_negative_shares_is_rejected","tests.api","2026-08-24","skipped","2026-08-24","","test_positions_api","",""
"","18","test_deposit_increases_balance","tests.api","2026-08-24","passed","2026-08-24","","test_deposit_withdraw_api","",""
"","110","test_login_page_has_register_link","tests.ui","2026-08-24","passed","2026-08-24","","test_login","",""
"","314","test_login_with_invalid_credentials_shows_error","tests.ui","2026-08-24","passed","2026-08-24","","test_login","",""
"","23","test_request_loan_response_fields","tests.api","2026-08-24","passed","2026-08-24","","test_loans_api","",""
"","10","test_transactions_by_date_range_returns_200","tests.api","2026-08-24","passed","2026-08-24","","test_transactions_api","",""
"","6","test_account_response_matches_contract","tests.api","2026-08-24","passed","2026-08-24","","test_contracts_api","",""
"","7","test_get_nonexistent_account_returns_error","tests.api","2026-08-24","passed","2026-08-24","","test_accounts_api","",""
"","138","test_transfer_valid_amount_completes","tests.ui","2026-08-24","passed","2026-08-24","","test_transfer","",""
"","8","test_get_transaction_by_id","tests.api","2026-08-24","passed","2026-08-24","","test_transactions_api","",""
"","10","test_get_position_by_id","tests.api","2026-08-24","passed","2026-08-24","","test_positions_api","",""
"","10","test_bill_pay_negative_amount_is_rejected","tests.api","2026-08-24","skipped","2026-08-24","","test_billpay_api","",""
"","18","test_request_loan_negative_down_payment_is_rejected","tests.api","2026-08-24","skipped","2026-08-24","","test_loans_api","",""
"","265","test_login_with_empty_credentials_shows_error","tests.ui","2026-08-24","passed","2026-08-24","","test_login","",""
"","7","test_get_customer_fields","tests.api","2026-08-24","passed","2026-08-24","","test_customer_api","",""
"","17","test_new_account_appears_in_account_list","tests.api","2026-08-24","passed","2026-08-24","","test_accounts_api","",""
"","48","test_request_loan_down_payment_exceeding_amount","tests.api","2026-08-24","passed","2026-08-24","","test_loans_api","",""
